--------------------------------------------------------------
| countryHappy             | rank  | nbEruptions | nbTsunami |
| "Ukraine"                | "132" | 0           |           |
| "UnitedArabEmirates"     | "21"  | 0           |           |
| "UnitedKingdom"          | "19"  | 0           |           |
| "UnitedStates"           | "14"  | 0           |           |
| "Uruguay"                | "28"  | 0           |           |
| "Uzbekistan"             | "47"  | 0           |           |
| "Venezuela"              | "82"  | 0           |           |
| "Vietnam"                | "94"  | 0           |           |
| "Yemen"                  | "146" | 0           |           |
| "Zambia"                 | "116" | 0           |           |
| "Zimbabwe"               | "138" | 0           |           |
--------------------------------------------------------------
